	Plate	Well	Frames	Well Number	Control Type	Original Gene Target	Plate_Map_Name	Gene_Replicate	Site	DNA
52	LT0002_51	B2	50	26	negative control	negative control	LT0002_51_26	1	1	LT0002_51/LT0002_51_26_50.tif
53	LT0002_51	C1	50	49	positive control	ENSG00000149503	LT0002_51_49	1	1	LT0002_51/LT0002_51_49_50.tif
54	LT0002_51	C4	50	52	positive control	ENSG00000149503	LT0002_51_52	1	1	LT0002_51/LT0002_51_52_50.tif
55	LT0002_51	C15	50	63	negative control	negative control	LT0002_51_63	1	1	LT0002_51/LT0002_51_63_50.tif
56	LT0002_51	D2	50	74	negative control	negative control	LT0002_51_74	1	1	LT0002_51/LT0002_51_74_50.tif
57	LT0002_51	M16	50	304	negative control	negative control	LT0002_51_304	1	1	LT0002_51/LT0002_51_304_50.tif
58	LT0002_51	N3	50	315	negative control	negative control	LT0002_51_315	1	1	LT0002_51/LT0002_51_315_50.tif
59	LT0002_51	O16	50	352	negative control	negative control	LT0002_51_352	1	1	LT0002_51/LT0002_51_352_50.tif
60	LT0003_02	A4	50	4	positive control	ENSG00000149503	LT0003_02_4	1	1	LT0003_02/LT0003_02_4_50.tif
61	LT0003_02	A15	50	15	negative control	negative control	LT0003_02_15	1	1	LT0003_02/LT0003_02_15_50.tif
62	LT0003_02	B2	50	26	negative control	negative control	LT0003_02_26	1	1	LT0003_02/LT0003_02_26_50.tif
63	LT0003_02	C1	50	49	positive control	ENSG00000149503	LT0003_02_49	1	1	LT0003_02/LT0003_02_49_50.tif
64	LT0003_02	C4	50	52	positive control	ENSG00000149503	LT0003_02_52	1	1	LT0003_02/LT0003_02_52_50.tif
65	LT0003_02	C15	50	63	negative control	negative control	LT0003_02_63	1	1	LT0003_02/LT0003_02_63_50.tif
66	LT0003_02	D2	50	74	negative control	negative control	LT0003_02_74	1	1	LT0003_02/LT0003_02_74_50.tif
67	LT0003_02	M16	50	304	negative control	negative control	LT0003_02_304	1	1	LT0003_02/LT0003_02_304_50.tif
68	LT0003_02	N3	50	315	negative control	negative control	LT0003_02_315	1	1	LT0003_02/LT0003_02_315_50.tif
69	LT0003_02	O16	50	352	negative control	negative control	LT0003_02_352	1	1	LT0003_02/LT0003_02_352_50.tif
70	LT0003_15	A4	50	4	positive control	ENSG00000149503	LT0003_15_4	1	1	LT0003_15/LT0003_15_4_50.tif
71	LT0003_15	A15	50	15	negative control	negative control	LT0003_15_15	1	1	LT0003_15/LT0003_15_15_50.tif
72	LT0003_15	B2	50	26	negative control	negative control	LT0003_15_26	1	1	LT0003_15/LT0003_15_26_50.tif
73	LT0003_15	C1	50	49	positive control	ENSG00000149503	LT0003_15_49	1	1	LT0003_15/LT0003_15_49_50.tif
74	LT0003_15	C4	50	52	positive control	ENSG00000149503	LT0003_15_52	1	1	LT0003_15/LT0003_15_52_50.tif
75	LT0003_15	C15	50	63	negative control	negative control	LT0003_15_63	1	1	LT0003_15/LT0003_15_63_50.tif
76	LT0003_15	D2	50	74	negative control	negative control	LT0003_15_74	1	1	LT0003_15/LT0003_15_74_50.tif
77	LT0003_15	M16	50	304	negative control	negative control	LT0003_15_304	1	1	LT0003_15/LT0003_15_304_50.tif
78	LT0003_15	N3	50	315	negative control	negative control	LT0003_15_315	1	1	LT0003_15/LT0003_15_315_50.tif
79	LT0003_15	O16	50	352	negative control	negative control	LT0003_15_352	1	1	LT0003_15/LT0003_15_352_50.tif
80	LT0003_40	A4	50	4	positive control	ENSG00000149503	LT0003_40_4	1	1	LT0003_40/LT0003_40_4_50.tif
81	LT0003_40	A15	50	15	negative control	negative control	LT0003_40_15	1	1	LT0003_40/LT0003_40_15_50.tif
82	LT0003_40	B2	50	26	negative control	negative control	LT0003_40_26	1	1	LT0003_40/LT0003_40_26_50.tif
83	LT0003_40	C1	50	49	positive control	ENSG00000149503	LT0003_40_49	1	1	LT0003_40/LT0003_40_49_50.tif
84	LT0003_40	C4	50	52	positive control	ENSG00000149503	LT0003_40_52	1	1	LT0003_40/LT0003_40_52_50.tif
85	LT0003_40	C15	50	63	negative control	negative control	LT0003_40_63	1	1	LT0003_40/LT0003_40_63_50.tif
86	LT0003_40	D2	50	74	negative control	negative control	LT0003_40_74	1	1	LT0003_40/LT0003_40_74_50.tif
87	LT0003_40	M16	50	304	negative control	negative control	LT0003_40_304	1	1	LT0003_40/LT0003_40_304_50.tif
88	LT0003_40	N3	50	315	negative control	negative control	LT0003_40_315	1	1	LT0003_40/LT0003_40_315_50.tif
89	LT0003_40	O16	50	352	negative control	negative control	LT0003_40_352	1	1	LT0003_40/LT0003_40_352_50.tif
90	LT0004_06	A4	50	4	positive control	ENSG00000149503	LT0004_06_4	1	1	LT0004_06/LT0004_06_4_50.tif
91	LT0004_06	A15	50	15	negative control	negative control	LT0004_06_15	1	1	LT0004_06/LT0004_06_15_50.tif
92	LT0004_06	B2	50	26	negative control	negative control	LT0004_06_26	1	1	LT0004_06/LT0004_06_26_50.tif
93	LT0004_06	C1	50	49	positive control	ENSG00000149503	LT0004_06_49	1	1	LT0004_06/LT0004_06_49_50.tif
94	LT0004_06	C4	50	52	positive control	ENSG00000149503	LT0004_06_52	1	1	LT0004_06/LT0004_06_52_50.tif
95	LT0004_06	C15	50	63	negative control	negative control	LT0004_06_63	1	1	LT0004_06/LT0004_06_63_50.tif
96	LT0004_06	D2	50	74	negative control	negative control	LT0004_06_74	1	1	LT0004_06/LT0004_06_74_50.tif
97	LT0004_06	M16	50	304	negative control	negative control	LT0004_06_304	1	1	LT0004_06/LT0004_06_304_50.tif
98	LT0004_06	N3	50	315	negative control	negative control	LT0004_06_315	1	1	LT0004_06/LT0004_06_315_50.tif
99	LT0004_06	O16	50	352	negative control	negative control	LT0004_06_352	1	1	LT0004_06/LT0004_06_352_50.tif
100	LT0004_11	A4	50	4	positive control	ENSG00000149503	LT0004_11_4	1	1	LT0004_11/LT0004_11_4_50.tif
