Plate,Well,Frames,Well Number,Control Type,Original Gene Target,Plate_Map_Name,Gene_Replicate,Site,DNA
LT0004_47,O16,50,352,negative control,negative control,LT0004_47_352,1,1,LT0004_47/LT0004_47_352_50.tif
LT0005_06,A1,50,1,positive control,ENSG00000149503,LT0005_06_1,1,1,LT0005_06/LT0005_06_1_50.tif
LT0005_06,A4,50,4,positive control,ENSG00000149503,LT0005_06_4,1,1,LT0005_06/LT0005_06_4_50.tif
LT0005_06,A15,50,15,negative control,negative control,LT0005_06_15,1,1,LT0005_06/LT0005_06_15_50.tif
LT0005_06,B2,50,26,negative control,negative control,LT0005_06_26,1,1,LT0005_06/LT0005_06_26_50.tif
LT0005_06,C1,50,49,positive control,ENSG00000149503,LT0005_06_49,1,1,LT0005_06/LT0005_06_49_50.tif
LT0005_06,C4,50,52,positive control,ENSG00000149503,LT0005_06_52,1,1,LT0005_06/LT0005_06_52_50.tif
LT0005_06,C15,50,63,negative control,negative control,LT0005_06_63,1,1,LT0005_06/LT0005_06_63_50.tif
LT0005_06,D2,50,74,negative control,negative control,LT0005_06_74,1,1,LT0005_06/LT0005_06_74_50.tif
LT0005_06,N3,50,315,negative control,negative control,LT0005_06_315,1,1,LT0005_06/LT0005_06_315_50.tif
LT0005_06,O16,50,352,negative control,negative control,LT0005_06_352,1,1,LT0005_06/LT0005_06_352_50.tif
LT0005_06,P3,50,363,negative control,negative control,LT0005_06_363,1,1,LT0005_06/LT0005_06_363_50.tif
LT0005_44,A1,50,1,positive control,ENSG00000149503,LT0005_44_1,1,1,LT0005_44/LT0005_44_1_50.tif
LT0005_44,A4,50,4,positive control,ENSG00000149503,LT0005_44_4,1,1,LT0005_44/LT0005_44_4_50.tif
LT0005_44,A15,50,15,negative control,negative control,LT0005_44_15,1,1,LT0005_44/LT0005_44_15_50.tif
LT0005_44,B2,50,26,negative control,negative control,LT0005_44_26,1,1,LT0005_44/LT0005_44_26_50.tif
LT0005_44,C1,50,49,positive control,ENSG00000149503,LT0005_44_49,1,1,LT0005_44/LT0005_44_49_50.tif
LT0005_44,C4,50,52,positive control,ENSG00000149503,LT0005_44_52,1,1,LT0005_44/LT0005_44_52_50.tif
LT0005_44,C15,50,63,negative control,negative control,LT0005_44_63,1,1,LT0005_44/LT0005_44_63_50.tif
LT0005_44,N3,50,315,negative control,negative control,LT0005_44_315,1,1,LT0005_44/LT0005_44_315_50.tif
LT0005_44,O16,50,352,negative control,negative control,LT0005_44_352,1,1,LT0005_44/LT0005_44_352_50.tif
LT0005_47,A1,50,1,positive control,ENSG00000149503,LT0005_47_1,1,1,LT0005_47/LT0005_47_1_50.tif
LT0005_47,A4,50,4,positive control,ENSG00000149503,LT0005_47_4,1,1,LT0005_47/LT0005_47_4_50.tif
LT0005_47,A15,50,15,negative control,negative control,LT0005_47_15,1,1,LT0005_47/LT0005_47_15_50.tif
LT0005_47,B2,50,26,negative control,negative control,LT0005_47_26,1,1,LT0005_47/LT0005_47_26_50.tif
LT0005_47,C1,50,49,positive control,ENSG00000149503,LT0005_47_49,1,1,LT0005_47/LT0005_47_49_50.tif
LT0005_47,C4,50,52,positive control,ENSG00000149503,LT0005_47_52,1,1,LT0005_47/LT0005_47_52_50.tif
LT0005_47,C15,50,63,negative control,negative control,LT0005_47_63,1,1,LT0005_47/LT0005_47_63_50.tif
LT0005_47,D2,50,74,negative control,negative control,LT0005_47_74,1,1,LT0005_47/LT0005_47_74_50.tif
LT0005_47,N3,50,315,negative control,negative control,LT0005_47_315,1,1,LT0005_47/LT0005_47_315_50.tif
LT0005_47,O16,50,352,negative control,negative control,LT0005_47_352,1,1,LT0005_47/LT0005_47_352_50.tif
LT0006_10,A1,50,1,positive control,ENSG00000149503,LT0006_10_1,1,1,LT0006_10/LT0006_10_1_50.tif
LT0006_10,A4,50,4,positive control,ENSG00000149503,LT0006_10_4,1,1,LT0006_10/LT0006_10_4_50.tif
LT0006_10,A15,50,15,negative control,negative control,LT0006_10_15,1,1,LT0006_10/LT0006_10_15_50.tif
LT0006_10,B2,50,26,negative control,negative control,LT0006_10_26,1,1,LT0006_10/LT0006_10_26_50.tif
LT0006_10,C1,50,49,positive control,ENSG00000149503,LT0006_10_49,1,1,LT0006_10/LT0006_10_49_50.tif
LT0006_10,C4,50,52,positive control,ENSG00000149503,LT0006_10_52,1,1,LT0006_10/LT0006_10_52_50.tif
LT0006_10,C15,50,63,negative control,negative control,LT0006_10_63,1,1,LT0006_10/LT0006_10_63_50.tif
LT0006_10,D2,50,74,negative control,negative control,LT0006_10_74,1,1,LT0006_10/LT0006_10_74_50.tif
LT0006_10,M16,50,304,negative control,negative control,LT0006_10_304,1,1,LT0006_10/LT0006_10_304_50.tif
