	Plate	Well	Frames	Well Number	Control Type	Original Gene Target
58032	LT0044_36	C1	50	49	positive control	ENSG00000149503
58035	LT0044_36	C4	50	52	positive control	ENSG00000149503
58046	LT0044_36	C15	50	63	negative control	negative control
58057	LT0044_36	D2	50	74	negative control	negative control
58287	LT0044_36	M16	50	304	negative control	negative control
58298	LT0044_36	N3	50	315	negative control	negative control
58335	LT0044_36	O16	50	352	negative control	negative control
58368	LT0045_10	A1	50	1	positive control	ENSG00000149503
58371	LT0045_10	A4	50	4	positive control	ENSG00000149503
58382	LT0045_10	A15	50	15	negative control	negative control
58393	LT0045_10	B2	50	26	negative control	negative control
58416	LT0045_10	C1	50	49	positive control	ENSG00000149503
58419	LT0045_10	C4	50	52	positive control	ENSG00000149503
58430	LT0045_10	C15	50	63	negative control	negative control
58441	LT0045_10	D2	50	74	negative control	negative control
58671	LT0045_10	M16	50	304	negative control	negative control
58682	LT0045_10	N3	50	315	negative control	negative control
58719	LT0045_10	O16	50	352	negative control	negative control
58752	LT0045_12	A1	50	1	positive control	ENSG00000149503
58755	LT0045_12	A4	50	4	positive control	ENSG00000149503
58766	LT0045_12	A15	50	15	negative control	negative control
58777	LT0045_12	B2	50	26	negative control	negative control
58800	LT0045_12	C1	50	49	positive control	ENSG00000149503
58803	LT0045_12	C4	50	52	positive control	ENSG00000149503
58814	LT0045_12	C15	50	63	negative control	negative control
58825	LT0045_12	D2	50	74	negative control	negative control
59055	LT0045_12	M16	50	304	negative control	negative control
59066	LT0045_12	N3	50	315	negative control	negative control
59136	LT0045_19	A1	50	1	positive control	ENSG00000149503
59139	LT0045_19	A4	50	4	positive control	ENSG00000149503
59150	LT0045_19	A15	50	15	negative control	negative control
59161	LT0045_19	B2	50	26	negative control	negative control
59184	LT0045_19	C1	50	49	positive control	ENSG00000149503
59187	LT0045_19	C4	50	52	positive control	ENSG00000149503
59198	LT0045_19	C15	50	63	negative control	negative control
59209	LT0045_19	D2	50	74	negative control	negative control
59439	LT0045_19	M16	50	304	negative control	negative control
59450	LT0045_19	N3	50	315	negative control	negative control
59487	LT0045_19	O16	50	352	negative control	negative control
59520	LT0046_03	A1	50	1	positive control	ENSG00000149503
59523	LT0046_03	A4	50	4	positive control	ENSG00000149503
59534	LT0046_03	A15	50	15	negative control	negative control
59545	LT0046_03	B2	50	26	negative control	negative control
59568	LT0046_03	C1	50	49	positive control	ENSG00000149503
59571	LT0046_03	C4	50	52	positive control	ENSG00000149503
59582	LT0046_03	C15	50	63	negative control	negative control
59593	LT0046_03	D2	50	74	negative control	negative control
59823	LT0046_03	M16	50	304	negative control	negative control
59834	LT0046_03	N3	50	315	negative control	negative control
59871	LT0046_03	O16	50	352	negative control	negative control
59904	LT0046_19	A1	50	1	positive control	ENSG00000149503
59907	LT0046_19	A4	50	4	positive control	ENSG00000149503
59918	LT0046_19	A15	50	15	negative control	negative control
59929	LT0046_19	B2	50	26	negative control	negative control
59952	LT0046_19	C1	50	49	positive control	ENSG00000149503
59955	LT0046_19	C4	50	52	positive control	ENSG00000149503
59966	LT0046_19	C15	50	63	negative control	negative control
59977	LT0046_19	D2	50	74	negative control	negative control
60207	LT0046_19	M16	50	304	negative control	negative control
60218	LT0046_19	N3	50	315	negative control	negative control
60255	LT0046_19	O16	50	352	negative control	negative control
60288	LT0046_35	A1	50	1	positive control	ENSG00000149503
60291	LT0046_35	A4	50	4	positive control	ENSG00000149503
60302	LT0046_35	A15	50	15	negative control	negative control
60313	LT0046_35	B2	50	26	negative control	negative control
60336	LT0046_35	C1	50	49	positive control	ENSG00000149503
60339	LT0046_35	C4	50	52	positive control	ENSG00000149503
60350	LT0046_35	C15	50	63	negative control	negative control
60361	LT0046_35	D2	50	74	negative control	negative control
60591	LT0046_35	M16	50	304	negative control	negative control
60602	LT0046_35	N3	50	315	negative control	negative control
60639	LT0046_35	O16	50	352	negative control	negative control
60672	LT0047_03	A1	50	1	positive control	ENSG00000149503
60675	LT0047_03	A4	50	4	positive control	ENSG00000149503
60686	LT0047_03	A15	50	15	negative control	negative control
60697	LT0047_03	B2	50	26	negative control	negative control
60720	LT0047_03	C1	50	49	positive control	ENSG00000149503
60723	LT0047_03	C4	50	52	positive control	ENSG00000149503
60734	LT0047_03	C15	50	63	negative control	negative control
60745	LT0047_03	D2	50	74	negative control	negative control
60975	LT0047_03	M16	50	304	negative control	negative control
60986	LT0047_03	N3	50	315	negative control	negative control
61023	LT0047_03	O16	50	352	negative control	negative control
61056	LT0047_25	A1	50	1	positive control	ENSG00000149503
61059	LT0047_25	A4	50	4	positive control	ENSG00000149503
61070	LT0047_25	A15	50	15	negative control	negative control
61081	LT0047_25	B2	50	26	negative control	negative control
61104	LT0047_25	C1	50	49	positive control	ENSG00000149503
61107	LT0047_25	C4	50	52	positive control	ENSG00000149503
61118	LT0047_25	C15	50	63	negative control	negative control
61129	LT0047_25	D2	50	74	negative control	negative control
61359	LT0047_25	M16	50	304	negative control	negative control
61370	LT0047_25	N3	50	315	negative control	negative control
61407	LT0047_25	O16	50	352	negative control	negative control
61440	LT0047_27	A1	50	1	positive control	ENSG00000149503
61443	LT0047_27	A4	50	4	positive control	ENSG00000149503
61454	LT0047_27	A15	50	15	negative control	negative control
61465	LT0047_27	B2	50	26	negative control	negative control
61488	LT0047_27	C1	50	49	positive control	ENSG00000149503
61491	LT0047_27	C4	50	52	positive control	ENSG00000149503
61502	LT0047_27	C15	50	63	negative control	negative control
61513	LT0047_27	D2	50	74	negative control	negative control
61743	LT0047_27	M16	50	304	negative control	negative control
61754	LT0047_27	N3	50	315	negative control	negative control
61791	LT0047_27	O16	50	352	negative control	negative control
61824	LT0048_03	A1	50	1	positive control	ENSG00000149503
61827	LT0048_03	A4	50	4	positive control	ENSG00000149503
61838	LT0048_03	A15	50	15	negative control	negative control
61849	LT0048_03	B2	50	26	negative control	negative control
61872	LT0048_03	C1	50	49	positive control	ENSG00000149503
61875	LT0048_03	C4	50	52	positive control	ENSG00000149503
61886	LT0048_03	C15	50	63	negative control	negative control
61897	LT0048_03	D2	50	74	negative control	negative control
62127	LT0048_03	M16	50	304	negative control	negative control
62138	LT0048_03	N3	50	315	negative control	negative control
62175	LT0048_03	O16	50	352	negative control	negative control
62208	LT0048_13	A1	50	1	positive control	ENSG00000149503
62211	LT0048_13	A4	50	4	positive control	ENSG00000149503
62222	LT0048_13	A15	50	15	negative control	negative control
62233	LT0048_13	B2	50	26	negative control	negative control
62256	LT0048_13	C1	50	49	positive control	ENSG00000149503
62259	LT0048_13	C4	50	52	positive control	ENSG00000149503
62270	LT0048_13	C15	50	63	negative control	negative control
62281	LT0048_13	D2	50	74	negative control	negative control
62511	LT0048_13	M16	50	304	negative control	negative control
62522	LT0048_13	N3	50	315	negative control	negative control
62559	LT0048_13	O16	50	352	negative control	negative control
62592	LT0048_14	A1	50	1	positive control	ENSG00000149503
62595	LT0048_14	A4	50	4	positive control	ENSG00000149503
62606	LT0048_14	A15	50	15	negative control	negative control
62617	LT0048_14	B2	50	26	negative control	negative control
62640	LT0048_14	C1	50	49	positive control	ENSG00000149503
62643	LT0048_14	C4	50	52	positive control	ENSG00000149503
62654	LT0048_14	C15	50	63	negative control	negative control
62665	LT0048_14	D2	50	74	negative control	negative control
62895	LT0048_14	M16	50	304	negative control	negative control
62906	LT0048_14	N3	50	315	negative control	negative control
62943	LT0048_14	O16	50	352	negative control	negative control
62976	LT0049_02	A1	50	1	positive control	ENSG00000149503
62979	LT0049_02	A4	50	4	positive control	ENSG00000149503
62990	LT0049_02	A15	50	15	negative control	negative control
62997	LT0049_02	A22	50	22	positive control	KIF11
63001	LT0049_02	B2	50	26	negative control	negative control
63024	LT0049_02	C1	50	49	positive control	ENSG00000149503
63027	LT0049_02	C4	50	52	positive control	ENSG00000149503
63038	LT0049_02	C15	50	63	negative control	negative control
63049	LT0049_02	D2	50	74	negative control	negative control
63279	LT0049_02	M16	50	304	negative control	negative control
63290	LT0049_02	N3	50	315	negative control	negative control
63327	LT0049_02	O16	50	352	negative control	negative control
63360	LT0049_42	A1	50	1	positive control	ENSG00000149503
63363	LT0049_42	A4	50	4	positive control	ENSG00000149503
63374	LT0049_42	A15	50	15	negative control	negative control
63381	LT0049_42	A22	50	22	positive control	KIF11
63385	LT0049_42	B2	50	26	negative control	negative control
63408	LT0049_42	C1	50	49	positive control	ENSG00000149503
63411	LT0049_42	C4	50	52	positive control	ENSG00000149503
63422	LT0049_42	C15	50	63	negative control	negative control
63433	LT0049_42	D2	50	74	negative control	negative control
63663	LT0049_42	M16	50	304	negative control	negative control
63674	LT0049_42	N3	50	315	negative control	negative control
63711	LT0049_42	O16	50	352	negative control	negative control
63744	LT0049_44	A1	50	1	positive control	ENSG00000149503
63747	LT0049_44	A4	50	4	positive control	ENSG00000149503
63758	LT0049_44	A15	50	15	negative control	negative control
63765	LT0049_44	A22	50	22	positive control	KIF11
63769	LT0049_44	B2	50	26	negative control	negative control
63792	LT0049_44	C1	50	49	positive control	ENSG00000149503
63795	LT0049_44	C4	50	52	positive control	ENSG00000149503
63806	LT0049_44	C15	50	63	negative control	negative control
63817	LT0049_44	D2	50	74	negative control	negative control
64047	LT0049_44	M16	50	304	negative control	negative control
64058	LT0049_44	N3	50	315	negative control	negative control
64095	LT0049_44	O16	50	352	negative control	negative control
64128	LT0060_17	A1	50	1	positive control	ENSG00000149503
64131	LT0060_17	A4	50	4	positive control	ENSG00000149503
64142	LT0060_17	A15	50	15	negative control	
64153	LT0060_17	B2	50	26	negative control	
64176	LT0060_17	C1	50	49	positive control	ENSG00000149503
64179	LT0060_17	C4	50	52	positive control	ENSG00000149503
64190	LT0060_17	C15	50	63	negative control	
64201	LT0060_17	D2	50	74	negative control	
64431	LT0060_17	M16	50	304	negative control	
64442	LT0060_17	N3	50	315	negative control	
64460	LT0060_17	N21	50	333	positive control	COPB
64463	LT0060_17	N24	50	336	positive control	COPB
64479	LT0060_17	O16	50	352	negative control	
64490	LT0060_17	P3	50	363	negative control	
64508	LT0060_17	P21	50	381	positive control	COPB
64511	LT0060_17	P24	50	384	positive control	COPB
64512	LT0060_31	A1	50	1	positive control	ENSG00000149503
64515	LT0060_31	A4	50	4	positive control	ENSG00000149503
64526	LT0060_31	A15	50	15	negative control	
64537	LT0060_31	B2	50	26	negative control	
64560	LT0060_31	C1	50	49	positive control	ENSG00000149503
64563	LT0060_31	C4	50	52	positive control	ENSG00000149503
64574	LT0060_31	C15	50	63	negative control	
64585	LT0060_31	D2	50	74	negative control	
64815	LT0060_31	M16	50	304	negative control	
64826	LT0060_31	N3	50	315	negative control	
64844	LT0060_31	N21	50	333	positive control	COPB
64847	LT0060_31	N24	50	336	positive control	COPB
64863	LT0060_31	O16	50	352	negative control	
64874	LT0060_31	P3	50	363	negative control	
64892	LT0060_31	P21	50	381	positive control	COPB
64895	LT0060_31	P24	50	384	positive control	COPB
64896	LT0060_51	A1	50	1	positive control	ENSG00000149503
64899	LT0060_51	A4	50	4	positive control	ENSG00000149503
64910	LT0060_51	A15	50	15	negative control	
64921	LT0060_51	B2	50	26	negative control	
64944	LT0060_51	C1	50	49	positive control	ENSG00000149503
64947	LT0060_51	C4	50	52	positive control	ENSG00000149503
64958	LT0060_51	C15	50	63	negative control	
64969	LT0060_51	D2	50	74	negative control	
65199	LT0060_51	M16	50	304	negative control	
65210	LT0060_51	N3	50	315	negative control	
65228	LT0060_51	N21	50	333	positive control	COPB
65231	LT0060_51	N24	50	336	positive control	COPB
65247	LT0060_51	O16	50	352	negative control	
65258	LT0060_51	P3	50	363	negative control	
65276	LT0060_51	P21	50	381	positive control	COPB
65279	LT0060_51	P24	50	384	positive control	COPB
65280	LT0060_52	A1	50	1	positive control	ENSG00000149503
65283	LT0060_52	A4	50	4	positive control	ENSG00000149503
65294	LT0060_52	A15	50	15	negative control	
65305	LT0060_52	B2	50	26	negative control	
65328	LT0060_52	C1	50	49	positive control	ENSG00000149503
65331	LT0060_52	C4	50	52	positive control	ENSG00000149503
65342	LT0060_52	C15	50	63	negative control	
65353	LT0060_52	D2	50	74	negative control	
65583	LT0060_52	M16	50	304	negative control	
65594	LT0060_52	N3	50	315	negative control	
65612	LT0060_52	N21	50	333	positive control	COPB
65615	LT0060_52	N24	50	336	positive control	COPB
65631	LT0060_52	O16	50	352	negative control	
65642	LT0060_52	P3	50	363	negative control	
65660	LT0060_52	P21	50	381	positive control	COPB
65663	LT0060_52	P24	50	384	positive control	COPB
65664	LT0061_02	A1	50	1	positive control	ENSG00000149503
65667	LT0061_02	A4	50	4	positive control	ENSG00000149503
65678	LT0061_02	A15	50	15	negative control	
65689	LT0061_02	B2	50	26	negative control	
65712	LT0061_02	C1	50	49	positive control	ENSG00000149503
65715	LT0061_02	C4	50	52	positive control	ENSG00000149503
65726	LT0061_02	C15	50	63	negative control	
65737	LT0061_02	D2	50	74	negative control	
65978	LT0061_02	N3	50	315	negative control	
65996	LT0061_02	N21	50	333	positive control	COPB
65999	LT0061_02	N24	50	336	positive control	COPB
66015	LT0061_02	O16	50	352	negative control	
66026	LT0061_02	P3	50	363	negative control	
66044	LT0061_02	P21	50	381	positive control	COPB
66047	LT0061_02	P24	50	384	positive control	COPB
66048	LT0061_03	A1	50	1	positive control	ENSG00000149503
66051	LT0061_03	A4	50	4	positive control	ENSG00000149503
66062	LT0061_03	A15	50	15	negative control	
66073	LT0061_03	B2	50	26	negative control	
66096	LT0061_03	C1	50	49	positive control	ENSG00000149503
66099	LT0061_03	C4	50	52	positive control	ENSG00000149503
66110	LT0061_03	C15	50	63	negative control	
66121	LT0061_03	D2	50	74	negative control	
66351	LT0061_03	M16	50	304	negative control	
66362	LT0061_03	N3	50	315	negative control	
66380	LT0061_03	N21	50	333	positive control	COPB
66383	LT0061_03	N24	50	336	positive control	COPB
66399	LT0061_03	O16	50	352	negative control	
66410	LT0061_03	P3	50	363	negative control	
66428	LT0061_03	P21	50	381	positive control	COPB
66431	LT0061_03	P24	50	384	positive control	COPB
66432	LT0061_05	A1	50	1	positive control	ENSG00000149503
66435	LT0061_05	A4	50	4	positive control	ENSG00000149503
66446	LT0061_05	A15	50	15	negative control	
66457	LT0061_05	B2	50	26	negative control	
66480	LT0061_05	C1	50	49	positive control	ENSG00000149503
66483	LT0061_05	C4	50	52	positive control	ENSG00000149503
66494	LT0061_05	C15	50	63	negative control	
66505	LT0061_05	D2	50	74	negative control	
66735	LT0061_05	M16	50	304	negative control	
66746	LT0061_05	N3	50	315	negative control	
66764	LT0061_05	N21	50	333	positive control	COPB
66767	LT0061_05	N24	50	336	positive control	COPB
66783	LT0061_05	O16	50	352	negative control	
66794	LT0061_05	P3	50	363	negative control	
66812	LT0061_05	P21	50	381	positive control	COPB
66815	LT0061_05	P24	50	384	positive control	COPB
66816	LT0062_07	A1	50	1	positive control	ENSG00000149503
66819	LT0062_07	A4	50	4	positive control	ENSG00000149503
66830	LT0062_07	A15	50	15	negative control	
66841	LT0062_07	B2	50	26	negative control	
66864	LT0062_07	C1	50	49	positive control	ENSG00000149503
66867	LT0062_07	C4	50	52	positive control	ENSG00000149503
66878	LT0062_07	C15	50	63	negative control	
66889	LT0062_07	D2	50	74	negative control	
67119	LT0062_07	M16	50	304	negative control	
67130	LT0062_07	N3	50	315	negative control	
67148	LT0062_07	N21	50	333	positive control	COPB
67151	LT0062_07	N24	50	336	positive control	COPB
67167	LT0062_07	O16	50	352	negative control	
67178	LT0062_07	P3	50	363	negative control	
67196	LT0062_07	P21	50	381	positive control	COPB
67199	LT0062_07	P24	50	384	positive control	COPB
67200	LT0062_30	A1	50	1	positive control	ENSG00000149503
67203	LT0062_30	A4	50	4	positive control	ENSG00000149503
67214	LT0062_30	A15	50	15	negative control	
67225	LT0062_30	B2	50	26	negative control	
67248	LT0062_30	C1	50	49	positive control	ENSG00000149503
67251	LT0062_30	C4	50	52	positive control	ENSG00000149503
67262	LT0062_30	C15	50	63	negative control	
67273	LT0062_30	D2	50	74	negative control	
67503	LT0062_30	M16	50	304	negative control	
67514	LT0062_30	N3	50	315	negative control	
67532	LT0062_30	N21	50	333	positive control	COPB
67535	LT0062_30	N24	50	336	positive control	COPB
67551	LT0062_30	O16	50	352	negative control	
67562	LT0062_30	P3	50	363	negative control	
67580	LT0062_30	P21	50	381	positive control	COPB
67583	LT0062_30	P24	50	384	positive control	COPB
67584	LT0062_46	A1	50	1	positive control	ENSG00000149503
67587	LT0062_46	A4	50	4	positive control	ENSG00000149503
67598	LT0062_46	A15	50	15	negative control	
67609	LT0062_46	B2	50	26	negative control	
67632	LT0062_46	C1	50	49	positive control	ENSG00000149503
67635	LT0062_46	C4	50	52	positive control	ENSG00000149503
67646	LT0062_46	C15	50	63	negative control	
67657	LT0062_46	D2	50	74	negative control	
67887	LT0062_46	M16	50	304	negative control	
67898	LT0062_46	N3	50	315	negative control	
67916	LT0062_46	N21	50	333	positive control	COPB
67919	LT0062_46	N24	50	336	positive control	COPB
67935	LT0062_46	O16	50	352	negative control	
67946	LT0062_46	P3	50	363	negative control	
67964	LT0062_46	P21	50	381	positive control	COPB
67968	LT0063_01	A1	50	1	positive control	ENSG00000149503
67971	LT0063_01	A4	50	4	positive control	ENSG00000149503
67982	LT0063_01	A15	50	15	negative control	
67993	LT0063_01	B2	50	26	negative control	
68016	LT0063_01	C1	50	49	positive control	ENSG00000149503
68019	LT0063_01	C4	50	52	positive control	ENSG00000149503
68030	LT0063_01	C15	50	63	negative control	
68041	LT0063_01	D2	50	74	negative control	
68271	LT0063_01	M16	50	304	negative control	
68282	LT0063_01	N3	50	315	negative control	
68300	LT0063_01	N21	50	333	positive control	COPB
68303	LT0063_01	N24	50	336	positive control	COPB
68319	LT0063_01	O16	50	352	negative control	
68330	LT0063_01	P3	50	363	negative control	
68348	LT0063_01	P21	50	381	positive control	COPB
68351	LT0063_01	P24	50	384	positive control	COPB
68352	LT0063_16	A1	50	1	positive control	ENSG00000149503
68355	LT0063_16	A4	50	4	positive control	ENSG00000149503
68366	LT0063_16	A15	50	15	negative control	
68377	LT0063_16	B2	50	26	negative control	
68400	LT0063_16	C1	50	49	positive control	ENSG00000149503
68403	LT0063_16	C4	50	52	positive control	ENSG00000149503
68414	LT0063_16	C15	50	63	negative control	
68425	LT0063_16	D2	50	74	negative control	
68655	LT0063_16	M16	50	304	negative control	
68666	LT0063_16	N3	50	315	negative control	
68684	LT0063_16	N21	50	333	positive control	COPB
68687	LT0063_16	N24	50	336	positive control	COPB
68703	LT0063_16	O16	50	352	negative control	
68714	LT0063_16	P3	50	363	negative control	
68732	LT0063_16	P21	50	381	positive control	COPB
68735	LT0063_16	P24	50	384	positive control	COPB
68736	LT0063_17	A1	50	1	positive control	ENSG00000149503
68739	LT0063_17	A4	50	4	positive control	ENSG00000149503
68750	LT0063_17	A15	50	15	negative control	
68761	LT0063_17	B2	50	26	negative control	
68784	LT0063_17	C1	50	49	positive control	ENSG00000149503
68787	LT0063_17	C4	50	52	positive control	ENSG00000149503
68798	LT0063_17	C15	50	63	negative control	
68809	LT0063_17	D2	50	74	negative control	
69039	LT0063_17	M16	50	304	negative control	
69050	LT0063_17	N3	50	315	negative control	
69068	LT0063_17	N21	50	333	positive control	COPB
69071	LT0063_17	N24	50	336	positive control	COPB
69087	LT0063_17	O16	50	352	negative control	
69098	LT0063_17	P3	50	363	negative control	
69116	LT0063_17	P21	50	381	positive control	COPB
69119	LT0063_17	P24	50	384	positive control	COPB
69120	LT0064_01	A1	50	1	positive control	ENSG00000149503
69123	LT0064_01	A4	50	4	positive control	ENSG00000149503
69134	LT0064_01	A15	50	15	negative control	
69145	LT0064_01	B2	50	26	negative control	
69168	LT0064_01	C1	50	49	positive control	ENSG00000149503
69171	LT0064_01	C4	50	52	positive control	ENSG00000149503
69182	LT0064_01	C15	50	63	negative control	
69193	LT0064_01	D2	50	74	negative control	
69423	LT0064_01	M16	50	304	negative control	
69434	LT0064_01	N3	50	315	negative control	
69452	LT0064_01	N21	50	333	positive control	COPB
69455	LT0064_01	N24	50	336	positive control	COPB
69471	LT0064_01	O16	50	352	negative control	
69482	LT0064_01	P3	50	363	negative control	
69500	LT0064_01	P21	50	381	positive control	COPB
69503	LT0064_01	P24	50	384	positive control	COPB
69504	LT0064_02	A1	50	1	positive control	ENSG00000149503
69507	LT0064_02	A4	50	4	positive control	ENSG00000149503
69518	LT0064_02	A15	50	15	negative control	
69529	LT0064_02	B2	50	26	negative control	
69552	LT0064_02	C1	50	49	positive control	ENSG00000149503
69555	LT0064_02	C4	50	52	positive control	ENSG00000149503
69566	LT0064_02	C15	50	63	negative control	
69577	LT0064_02	D2	50	74	negative control	
69807	LT0064_02	M16	50	304	negative control	
69818	LT0064_02	N3	50	315	negative control	
69836	LT0064_02	N21	50	333	positive control	COPB
69839	LT0064_02	N24	50	336	positive control	COPB
69855	LT0064_02	O16	50	352	negative control	
69866	LT0064_02	P3	50	363	negative control	
69884	LT0064_02	P21	50	381	positive control	COPB
69887	LT0064_02	P24	50	384	positive control	COPB
69888	LT0064_14	A1	50	1	positive control	ENSG00000149503
69891	LT0064_14	A4	50	4	positive control	ENSG00000149503
69902	LT0064_14	A15	50	15	negative control	
69913	LT0064_14	B2	50	26	negative control	
69936	LT0064_14	C1	50	49	positive control	ENSG00000149503
69939	LT0064_14	C4	50	52	positive control	ENSG00000149503
69950	LT0064_14	C15	50	63	negative control	
69961	LT0064_14	D2	50	74	negative control	
70191	LT0064_14	M16	50	304	negative control	
70202	LT0064_14	N3	50	315	negative control	
70220	LT0064_14	N21	50	333	positive control	COPB
70223	LT0064_14	N24	50	336	positive control	COPB
70239	LT0064_14	O16	50	352	negative control	
70250	LT0064_14	P3	50	363	negative control	
70268	LT0064_14	P21	50	381	positive control	COPB
70271	LT0064_14	P24	50	384	positive control	COPB
70272	LT0064_18	A1	50	1	positive control	ENSG00000149503
70275	LT0064_18	A4	50	4	positive control	ENSG00000149503
70286	LT0064_18	A15	50	15	negative control	
70297	LT0064_18	B2	50	26	negative control	
70320	LT0064_18	C1	50	49	positive control	ENSG00000149503
70323	LT0064_18	C4	50	52	positive control	ENSG00000149503
70334	LT0064_18	C15	50	63	negative control	
70345	LT0064_18	D2	50	74	negative control	
70575	LT0064_18	M16	50	304	negative control	
70586	LT0064_18	N3	50	315	negative control	
70604	LT0064_18	N21	50	333	positive control	COPB
70607	LT0064_18	N24	50	336	positive control	COPB
70623	LT0064_18	O16	50	352	negative control	
70634	LT0064_18	P3	50	363	negative control	
70652	LT0064_18	P21	50	381	positive control	COPB
70655	LT0064_18	P24	50	384	positive control	COPB
70656	LT0064_25	A1	50	1	positive control	ENSG00000149503
70659	LT0064_25	A4	50	4	positive control	ENSG00000149503
70670	LT0064_25	A15	50	15	negative control	
70681	LT0064_25	B2	50	26	negative control	
70704	LT0064_25	C1	50	49	positive control	ENSG00000149503
70707	LT0064_25	C4	50	52	positive control	ENSG00000149503
70718	LT0064_25	C15	50	63	negative control	
70729	LT0064_25	D2	50	74	negative control	
70959	LT0064_25	M16	50	304	negative control	
70970	LT0064_25	N3	50	315	negative control	
70988	LT0064_25	N21	50	333	positive control	COPB
70991	LT0064_25	N24	50	336	positive control	COPB
71007	LT0064_25	O16	50	352	negative control	
71018	LT0064_25	P3	50	363	negative control	
71036	LT0064_25	P21	50	381	positive control	COPB
71040	LT0065_04	A1	50	1	positive control	ENSG00000149503
71043	LT0065_04	A4	50	4	positive control	ENSG00000149503
71054	LT0065_04	A15	50	15	negative control	
71065	LT0065_04	B2	50	26	negative control	
71088	LT0065_04	C1	50	49	positive control	ENSG00000149503
71091	LT0065_04	C4	50	52	positive control	ENSG00000149503
71102	LT0065_04	C15	50	63	negative control	
71113	LT0065_04	D2	50	74	negative control	
71343	LT0065_04	M16	50	304	negative control	
71354	LT0065_04	N3	50	315	negative control	
71372	LT0065_04	N21	50	333	positive control	COPB
71375	LT0065_04	N24	50	336	positive control	COPB
71391	LT0065_04	O16	50	352	negative control	
71402	LT0065_04	P3	50	363	negative control	
71420	LT0065_04	P21	50	381	positive control	COPB
71423	LT0065_04	P24	50	384	positive control	COPB
71424	LT0065_05	A1	50	1	positive control	ENSG00000149503
71427	LT0065_05	A4	50	4	positive control	ENSG00000149503
71438	LT0065_05	A15	50	15	negative control	
71449	LT0065_05	B2	50	26	negative control	
71472	LT0065_05	C1	50	49	positive control	ENSG00000149503
71475	LT0065_05	C4	50	52	positive control	ENSG00000149503
71486	LT0065_05	C15	50	63	negative control	
71497	LT0065_05	D2	50	74	negative control	
71727	LT0065_05	M16	50	304	negative control	
71738	LT0065_05	N3	50	315	negative control	
71756	LT0065_05	N21	50	333	positive control	COPB
71759	LT0065_05	N24	50	336	positive control	COPB
71775	LT0065_05	O16	50	352	negative control	
71786	LT0065_05	P3	50	363	negative control	
71804	LT0065_05	P21	50	381	positive control	COPB
71807	LT0065_05	P24	50	384	positive control	COPB
71808	LT0065_06	A1	50	1	positive control	ENSG00000149503
71811	LT0065_06	A4	50	4	positive control	ENSG00000149503
71822	LT0065_06	A15	50	15	negative control	
71833	LT0065_06	B2	50	26	negative control	
71856	LT0065_06	C1	50	49	positive control	ENSG00000149503
71859	LT0065_06	C4	50	52	positive control	ENSG00000149503
71870	LT0065_06	C15	50	63	negative control	
71881	LT0065_06	D2	50	74	negative control	
72111	LT0065_06	M16	50	304	negative control	
72122	LT0065_06	N3	50	315	negative control	
72140	LT0065_06	N21	50	333	positive control	COPB
72143	LT0065_06	N24	50	336	positive control	COPB
72159	LT0065_06	O16	50	352	negative control	
72170	LT0065_06	P3	50	363	negative control	
72188	LT0065_06	P21	50	381	positive control	COPB
72191	LT0065_06	P24	50	384	positive control	COPB
72192	LT0066_02	A1	50	1	positive control	ENSG00000149503
72195	LT0066_02	A4	50	4	positive control	ENSG00000149503
72206	LT0066_02	A15	50	15	negative control	
72217	LT0066_02	B2	50	26	negative control	
72243	LT0066_02	C4	50	52	positive control	ENSG00000149503
72254	LT0066_02	C15	50	63	negative control	
72265	LT0066_02	D2	50	74	negative control	
72495	LT0066_02	M16	50	304	negative control	
72506	LT0066_02	N3	50	315	negative control	
72524	LT0066_02	N21	50	333	positive control	COPB
72527	LT0066_02	N24	50	336	positive control	COPB
72543	LT0066_02	O16	50	352	negative control	
72554	LT0066_02	P3	50	363	negative control	
72572	LT0066_02	P21	50	381	positive control	COPB
72575	LT0066_02	P24	50	384	positive control	COPB
72576	LT0066_19	A1	50	1	positive control	ENSG00000149503
72579	LT0066_19	A4	50	4	positive control	ENSG00000149503
72590	LT0066_19	A15	50	15	negative control	
72601	LT0066_19	B2	50	26	negative control	
72624	LT0066_19	C1	50	49	positive control	ENSG00000149503
72627	LT0066_19	C4	50	52	positive control	ENSG00000149503
72638	LT0066_19	C15	50	63	negative control	
72649	LT0066_19	D2	50	74	negative control	
72879	LT0066_19	M16	50	304	negative control	
72890	LT0066_19	N3	50	315	negative control	
72908	LT0066_19	N21	50	333	positive control	COPB
72911	LT0066_19	N24	50	336	positive control	COPB
72927	LT0066_19	O16	50	352	negative control	
72938	LT0066_19	P3	50	363	negative control	
72956	LT0066_19	P21	50	381	positive control	COPB
72959	LT0066_19	P24	50	384	positive control	COPB
72960	LT0066_23	A1	50	1	positive control	ENSG00000149503
72963	LT0066_23	A4	50	4	positive control	ENSG00000149503
72974	LT0066_23	A15	50	15	negative control	
72985	LT0066_23	B2	50	26	negative control	
73008	LT0066_23	C1	50	49	positive control	ENSG00000149503
73011	LT0066_23	C4	50	52	positive control	ENSG00000149503
73022	LT0066_23	C15	50	63	negative control	
73033	LT0066_23	D2	50	74	negative control	
73263	LT0066_23	M16	50	304	negative control	
73274	LT0066_23	N3	50	315	negative control	
73292	LT0066_23	N21	50	333	positive control	COPB
